Результат: ПЕРЕМОГА | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПЕРЕМОГА | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПЕРЕМОГА | Слово: ukraine
Результат: ПЕРЕМОГА | Слово: hator
Результат: ПРОГРАШ | Слово: ukraine
Результат: ПЕРЕМОГА | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
Результат: ПРОГРАШ | Слово: hello
Результат: ПЕРЕМОГА (СЛОВО) | Слово: hello
ПРОГРАШ|hello
ПЕРЕМОГА (СЛОВО)|hello
ПЕРЕМОГА|hello
ПЕРЕМОГА (СЛОВО)|hello
ПРОГРАШ|hello
ПЕРЕМОГА (СЛОВО)|hello
ПЕРЕМОГА|hello
